Curry de lotte au lait de coco,"Ingrédients : poivre, poivron rouge, lait de coco, tomate, pâte de curry, lotte, sel, poivronLavez les poivrons et les tomates. coupez les tomates en quartiers et les poivrons en lamelles. dans une sauteuse...",40 min,true,facile
Poulet coco ananas,"Ingrédients : ananas, poivre, lait de coco, blanc de poulet, oignon, curry, selEmincer l oignon, le faire revenir dans de l huile dans une grande poêle (ou wok). ajouter l ananas, faire un peu caraméliser,...",25 min,false,très facile
Crumble de tomates,"Ingrédients : chapelure, tomate, oignon, huile d olive, parmesanCouper les tomates en rondelles assez fines, puis les disposer dans un plat. arroser d un peu d huile et saler. passer à four chaud...",1h05,true,très facile
Cake aux olives,"Ingrédients : poivre, oeuf, levure, huile, olive verte, farine, vin blanc sec, beurre, jambon, gruyère râpéPréchauffer le four à th 6 (180°c). entretemps, mélanger la farine et les oeufs jusqu à obtenir...",1h10,false,facile
Test recipe,This is a test recipe,20 min,false,Pretty easy
,,,,
,,,,
,,,,
